"child","group","age","fitness_score"
"A",1,8,-1.62330074089102
"B",1,8,0.929219168303564
"C",1,8,-1.24225643578241
"D",1,8,-1.37327043309289
"E",2,8,0.059592283477013
"F",2,8,0.0235511816151707
"G",2,8,0.640699943227745
"H",2,8,0.204095692576442
"I",3,8,-1.20721755987892
"J",3,8,-1.45389172365068
"K",3,8,2.81902838552022
"L",3,8,0.350896786646575
"M",4,8,-2.14235082599584
"N",4,8,1.12066597699443
"O",4,8,-2.18733622462672
"P",4,8,-0.22350497554101
"Q",5,8,0.529407084967642
"R",5,8,0.458968218789459
"S",5,8,-0.739806663681596
"T",5,8,-0.493431135315849
"A",1,9,-1.50592475742685
"B",1,9,1.21956035321838
"C",1,9,-0.948190692400284
"D",1,9,-1.02193268526271
"E",2,9,0.549945530936418
"F",2,9,0.47834507097758
"G",2,9,1.05051542101916
"H",2,9,0.751702255516778
"I",3,9,-1.09649304151907
"J",3,9,-1.41048530296605
"K",3,9,2.8460886562872
"L",3,9,0.424454373599968
"M",4,9,-2.29096259237268
"N",4,9,1.7707256181945
"O",4,9,-1.93654795582359
"P",4,9,0.188383721235144
"Q",5,9,1.23035957368436
"R",5,9,0.896031095618174
"S",5,9,0.0726513310158672
"T",5,9,0.0164150962289468
"A",1,10,-1.35524235027019
"B",1,10,1.57482823155631
"C",1,10,-0.638361595072748
"D",1,10,-0.943124234498114
"E",2,10,0.977334987091099
"F",2,10,0.956993529315037
"G",2,10,1.2359124643142
"H",2,10,1.14568072954551
"I",3,10,-0.986382964634065
"J",3,10,-1.31715635614903
"K",3,10,2.87945085403205
"L",3,10,0.461412293031062
"M",4,10,-2.17541957379631
"N",4,10,1.93512260254402
"O",4,10,-1.65357914438722
"P",4,10,0.306401263382649
"Q",5,10,1.45099256839214
"R",5,10,1.41321154612023
"S",5,10,0.692924734143208
"T",5,10,0.253586626022987
"A",1,11,-0.958416214463948
"B",1,11,1.87504568586879
"C",1,11,-0.378683551583801
"D",1,11,-0.57089803651287
"E",2,11,1.43481488566831
"F",2,11,1.4430345528067
"G",2,11,1.55014240264767
"H",2,11,1.36862158114364
"I",3,11,-0.90426238880651
"J",3,11,-1.25268757695702
"K",3,11,2.89964356390359
"L",3,11,0.647786266633205
"M",4,11,-1.89391813807793
"N",4,11,1.65906836882556
"O",4,11,-1.72073461005291
"P",4,11,-0.170357377078718
"Q",5,11,2.02083084532906
"R",5,11,1.83953037221942
"S",5,11,1.38199038588626
"T",5,11,0.922142274354549
"A",1,12,-0.704339258645749
"B",1,12,2.1729045208202
"C",1,12,-0.115484969776282
"D",1,12,-0.19465094496719
"E",2,12,1.73340991098509
"F",2,12,2.10980705782177
"G",2,12,1.99115056426061
"H",2,12,1.63705163235091
"I",3,12,-0.826627664142478
"J",3,12,-1.1628978397079
"K",3,12,2.87131278222895
"L",3,12,0.645135953142122
"M",4,12,-2.0183982898951
"N",4,12,1.8451133395028
"O",4,12,-1.77373719779076
"P",4,12,-0.023285867544401
"Q",5,12,2.64130976410754
"R",5,12,2.28484853202064
"S",5,12,2.13694935719323
"T",5,12,1.38361122930534
"A",1,13,-0.586073416597531
"B",1,13,2.66990102430076
"C",1,13,-0.0366601789831403
"D",1,13,0.114093823415252
"E",2,13,2.24895750704539
"F",2,13,2.64981643746016
"G",2,13,2.31231708511946
"H",2,13,2.01847842169538
"I",3,13,-0.773133656407332
"J",3,13,-1.07858931002269
"K",3,13,2.87678681506706
"L",3,13,0.620919867140269
"M",4,13,-2.18722602996903
"N",4,13,2.14400851347063
"O",4,13,-1.1242422575933
"P",4,13,0.0559540140116906
"Q",5,13,2.99398685058721
"R",5,13,2.97735200770061
"S",5,13,2.02906721967845
"T",5,13,1.6197367760432
