"date","late_deliveries"
2015-01-01,113
2015-02-01,147
2015-03-01,105
2015-04-01,146
2015-05-01,128
2015-06-01,121
2015-07-01,110
2015-08-01,128
2015-09-01,139
2015-10-01,108
2015-11-01,122
2015-12-01,165
2016-01-01,110
2016-02-01,87
2016-03-01,117
2016-04-01,111
2016-05-01,116
2016-06-01,94
2016-07-01,91
2016-08-01,93
2016-09-01,98
2016-10-01,100
2016-11-01,98
2016-12-01,108
2017-01-01,89
2017-02-01,98
2017-03-01,78
2017-04-01,68
2017-05-01,118
2017-06-01,99
2017-07-01,73
2017-08-01,85
2017-09-01,80
2017-10-01,81
2017-11-01,77
2017-12-01,119
2018-01-01,72
2018-02-01,78
2018-03-01,98
2018-04-01,59
2018-05-01,56
2018-06-01,98
2018-07-01,88
2018-08-01,74
2018-09-01,66
2018-10-01,63
2018-11-01,52
2018-12-01,61
