"year","liability_type","liability_millions"
2001,"actives",50
2004,"actives",40
2007,"actives",30
2010,"actives",0
2013,"actives",0
2016,"actives",0
2019,"actives",0
2001,"deferred",90
2004,"deferred",120
2007,"deferred",150
2010,"deferred",200
2013,"deferred",190
2016,"deferred",170
2019,"deferred",150
2001,"pensioners",200
2004,"pensioners",210
2007,"pensioners",220
2010,"pensioners",250
2013,"pensioners",270
2016,"pensioners",290
2019,"pensioners",310
2001,"widowed_people",30
2004,"widowed_people",25
2007,"widowed_people",35
2010,"widowed_people",40
2013,"widowed_people",40
2016,"widowed_people",45
2019,"widowed_people",40
